"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Trc.1."	"LnPrior"	"LnData"	"LnPosterior"
95113	0.306674	0.876243	36.7859	32.5679	0.000176863	-148.4274	-4907.021	-5055.448
95114	0.306674	0.917978	37.5697	32.5679	0.000176863	-162.5068	-4892.021	-5054.528
95115	0.306674	0.917978	39.1257	32.5679	0.000176863	-162.1699	-4893.634	-5055.804
95116	0.306674	0.917978	39.1257	32.5679	0.000176863	-162.1699	-4893.634	-5055.804
95117	0.306674	0.93581	38.6475	36.5008	0.000544148	-170.8621	-4886.792	-5057.654
95118	0.293341	0.93581	39.0185	36.5008	0.000544148	-170.8062	-4888.018	-5058.824
95119	0.293341	0.93581	38.0027	36.5008	0.000544148	-171.0245	-4887.186	-5058.21
95120	0.293341	0.917815	38.0027	35.2384	0.000544148	-163.8616	-4894.307	-5058.169
95121	0.293341	0.917815	38.0838	37.3774	0.000499316	-165.239	-4893.348	-5058.587
95122	0.293341	0.917815	37.1275	37.3774	0.000499316	-165.4532	-4892.865	-5058.318
95123	0.293341	0.917815	37.1275	37.5866	0.000499316	-165.5995	-4892.806	-5058.405
95124	0.30219	0.917815	39.1184	37.5866	0.000499316	-165.1489	-4893.976	-5059.125
95125	0.30219	0.917815	39.1184	31.5818	0.000499316	-161.6459	-4896.713	-5058.359
95126	0.30219	0.942506	39.1184	31.5818	0.000271513	-170.4079	-4884.782	-5055.19
95127	0.30219	0.942506	39.8652	31.5818	0.000271513	-170.2548	-4886.052	-5056.307
95128	0.30219	0.942506	39.8652	31.5818	0.00012887	-170.2548	-4885.112	-5055.367
95129	0.304877	0.942506	39.8652	31.5818	0.00012887	-170.2502	-4884.945	-5055.195
95130	0.304877	0.957401	39.8652	31.5818	0.00012887	-175.6538	-4879.239	-5054.892
95131	0.304877	0.957401	39.8652	31.5818	0.00012887	-175.6538	-4879.239	-5054.892
95132	0.304877	0.957401	39.8652	31.5818	0.000307865	-175.6538	-4880.509	-5056.163
95133	0.304877	0.957401	39.8652	27.7721	7.83688e-05	-174.1791	-4881.332	-5055.511
95134	0.304877	0.955893	39.6757	27.7721	1.50272e-05	-173.6663	-4881.28	-5054.946
95135	0.304877	0.955893	39.6757	32.7318	1.50272e-05	-175.7002	-4878.217	-5053.917
95136	0.304877	0.955893	40.1568	32.7318	1.50272e-05	-175.6036	-4878.776	-5054.379
95137	0.304877	0.9495	39.5056	32.7318	2.9771e-05	-173.4084	-4880.408	-5053.816
95138	0.304877	0.9495	39.6665	39.6439	2.9771e-05	-177.8513	-4877.586	-5055.437
95139	0.304877	0.944161	39.6665	36.796	2.9771e-05	-173.8458	-4880.693	-5054.539
95140	0.304877	0.944161	39.6665	30.4336	2.9771e-05	-170.3808	-4883.867	-5054.248
95141	0.304877	0.972353	39.6665	30.1066	2.9771e-05	-180.5675	-4874.919	-5055.486
95142	0.304877	0.972353	39.6665	30.1066	2.9771e-05	-180.5675	-4874.919	-5055.486
95143	0.304877	0.962583	39.6665	32.5047	2.9771e-05	-178.0393	-4876.256	-5054.296
95144	0.304877	0.962583	39.6665	29.9596	2.9771e-05	-176.8958	-4877.769	-5054.665
95145	0.304877	0.962583	38.6166	35.1751	2.9771e-05	-179.7366	-4876.393	-5056.13
95146	0.304877	0.919703	38.6166	29.9709	0.00012598	-161.7144	-4892.877	-5054.592
95147	0.304877	0.935042	38.6166	29.9709	0.000612365	-167.1404	-4890.664	-5057.804
95148	0.304877	0.936924	39.3036	29.9709	0.000676867	-167.668	-4890.895	-5058.563
95149	0.304877	0.936924	39.3036	29.9709	0.000676867	-167.668	-4890.895	-5058.563
95150	0.303475	0.936924	39.0154	29.9709	0.000676867	-167.7305	-4890.56	-5058.291
95151	0.303475	0.920173	37.0996	34.9047	0.000676867	-164.672	-4894.333	-5059.005
95152	0.303475	0.920173	37.0996	34.9047	0.00128475	-164.672	-4898.929	-5063.601
95153	0.303475	0.9331	37.0996	35.9182	0.00102198	-169.866	-4893.846	-5063.712
95154	0.303475	0.9331	37.5869	32.3428	0.00102198	-167.7348	-4894.021	-5061.756
95155	0.303475	0.9331	37.5869	32.3428	0.000975039	-167.7348	-4893.642	-5061.377
95156	0.303475	0.9331	38.17	32.3428	0.000946621	-167.6058	-4892.438	-5060.044
95157	0.303475	0.9331	38.6167	32.3428	0.000733874	-167.5093	-4890.689	-5058.198
