"iter"	"Vehrc.1."	"Kehr.1."	"kfeces.1."	"kbile.1."	"kgutabs.1."	"LnPrior"	"LnData"	"LnPosterior"
95116	0.69919	0.0789843	0.047643	0.0547583	2.73303	8.490596	-173.6123	-165.1217
95117	0.679194	0.0789843	0.0479549	0.0547583	1.89441	8.938904	-173.4996	-164.5607
95118	0.683739	0.0825409	0.0479549	0.0624172	1.89441	9.184239	-173.7125	-164.5282
95119	0.683739	0.0864926	0.0479549	0.0624172	1.89441	9.400925	-174.1067	-164.7058
95120	0.722576	0.0864926	0.0398152	0.0625387	1.89441	8.501757	-173.3486	-164.8468
95121	0.693358	0.0864926	0.0398152	0.0625387	0.669777	7.938034	-173.0841	-165.146
95122	0.68678	0.0864926	0.0532009	0.0625387	0.669777	8.464704	-173.4441	-164.9793
95123	0.68678	0.0864926	0.0532009	0.0625387	2.11895	9.342376	-173.9648	-164.6224
95124	0.699772	0.0901258	0.0532009	0.0625387	1.00084	8.790535	-173.2026	-164.4121
95125	0.717978	0.0802364	0.0620297	0.115888	0.166544	5.684844	-173.1884	-167.5036
95126	0.717978	0.0802364	0.0620297	0.115888	1.18511	7.033603	-174.1837	-167.1501
95127	0.682819	0.0802364	0.0339168	0.0751265	1.18511	7.297718	-173.6723	-166.3746
95128	0.682552	0.0792138	0.0363063	0.0751265	2.57269	7.718655	-174.107	-166.3884
95129	0.682552	0.0841937	0.0423625	0.00492237	2.57269	8.997383	-172.3764	-163.379
95130	0.682552	0.0841937	0.0423625	0.00492237	2.57269	8.997383	-172.3764	-163.379
95131	0.683242	0.0841937	0.0376953	0.00492237	3.36343	7.760795	-172.3645	-164.6037
95132	0.683242	0.0841937	0.0344757	0.00492237	3.36343	7.312807	-172.3648	-165.052
95133	0.704078	0.0841937	0.0344757	0.00492237	1.7239	8.00902	-172.2785	-164.2695
95134	0.704078	0.0979187	0.0364949	0.0357606	1.27443	7.930383	-173.1152	-165.1849
95135	0.704078	0.0979187	0.0364949	0.0127295	1.27443	7.94566	-172.4352	-164.4895
95136	0.704078	0.0937467	0.0635584	0.00354449	0.776094	7.679017	-171.9025	-164.2235
95137	0.704078	0.0895956	0.0798711	0.00277487	1.56731	4.859465	-171.8816	-167.0221
95138	0.739744	0.114199	0.0551772	0.00277487	3.54984	4.717499	-171.5618	-166.8443
95139	0.752296	0.114199	0.0551772	0.00277487	3.54984	4.534212	-171.0196	-166.4854
95140	0.759556	0.113696	0.0551772	0.00277487	3.28599	4.915549	-170.8788	-165.9632
95141	0.763323	0.113696	0.0551772	0.000557595	2.8392	5.323152	-170.7937	-165.4706
95142	0.750447	0.113827	0.0551772	0.000557595	2.8392	5.494143	-170.9905	-165.4963
95143	0.754419	0.105659	0.0551772	0.000557595	0.46416	6.218899	-171.2219	-165.003
95144	0.743283	0.105659	0.0551772	0.000557595	1.60123	7.484562	-171.1252	-163.6407
95145	0.71585	0.0891382	0.0488924	0.000557595	2.95085	8.8176	-171.9881	-163.1705
95146	0.718728	0.0891382	0.0488924	0.000557595	2.95085	8.783845	-172.072	-163.2882
95147	0.718728	0.0869881	0.0488924	0.000557595	2.98423	8.709899	-172.3873	-163.6774
95148	0.723792	0.0869881	0.0488924	0.000557595	2.98423	8.648497	-172.6565	-164.008
95149	0.717044	0.100004	0.0488924	0.000557595	2.98423	8.274731	-171.6334	-163.3587
95150	0.744387	0.100004	0.0488924	0.0572085	2.98423	7.838685	-172.8121	-164.9734
95151	0.744387	0.104883	0.0488924	0.0639608	2.98423	7.18874	-172.939	-165.7503
95152	0.730371	0.10449	0.0608234	0.0639608	2.88356	6.95349	-173.4403	-166.4868
95153	0.730371	0.0830236	0.0479234	0.0639608	2.88356	8.324034	-174.6221	-166.2981
95154	0.730371	0.083677	0.0384115	0.0081589	2.88356	7.857605	-174.0363	-166.1786
95155	0.738932	0.083677	0.0457332	0.0081589	3.49229	7.599651	-174.9529	-167.3533
95156	0.738932	0.083677	0.0457332	0.0125582	2.3112	8.671317	-174.9051	-166.2337
95157	0.738932	0.083677	0.0457332	0.00093592	1.80894	8.67742	-174.9246	-166.2472
95158	0.733733	0.104089	0.0345794	0.00093592	1.80894	6.857779	-171.2652	-164.4074
95159	0.733733	0.100532	0.0345794	0.0112199	1.67003	7.281799	-171.5505	-164.2687
95160	0.733733	0.105667	0.0493826	0.0112199	1.67003	7.796217	-171.5392	-163.743
95161	0.733733	0.105667	0.0493826	0.0112199	1.67003	7.796217	-171.5392	-163.743
95162	0.733733	0.0972718	0.0501937	0.0112199	1.67003	8.760824	-171.7336	-162.9728
95163	0.733733	0.0972718	0.0501937	0.0112199	3.55941	7.599391	-171.8228	-164.2234
95164	0.728475	0.0972718	0.0602185	0.0112199	3.55941	7.146418	-171.7742	-164.6278
95165	0.734315	0.10404	0.0488258	0.0112199	3.55941	6.863666	-171.578	-164.7144
95166	0.734315	0.10404	0.0479116	0.0112199	1.1835	7.731293	-171.4571	-163.7258
95167	0.76538	0.109861	0.0479116	0.0718684	1.062	5.968269	-172.1325	-166.1642
95168	0.783312	0.102969	0.0479116	0.0828873	1.062	6.688218	-173.413	-166.7248
95169	0.752934	0.104234	0.0539831	0.0769951	1.7871	7.441871	-172.7841	-165.3422
95170	0.752934	0.104043	0.0539831	0.0467186	0.669636	6.804634	-171.7551	-164.9505
95171	0.746913	0.104605	0.0539831	0.0467186	0.241622	6.1533	-171.5455	-165.3922
95172	0.744244	0.106292	0.0539831	0.0467186	0.678049	6.603799	-171.8239	-165.2201
95173	0.744244	0.106292	0.0466313	0.0467186	0.678049	6.626383	-171.828	-165.2016
95174	0.744244	0.106292	0.0682523	0.0581981	2.1928	5.814361	-172.6082	-166.7938
95175	0.744244	0.106292	0.0283582	0.0359759	1.22524	4.95077	-171.8036	-166.8528
95176	0.726562	0.0887543	0.0433366	0.0319985	2.47685	8.824487	-172.8826	-164.0581
95177	0.70178	0.0887543	0.0221032	0.0521988	0.682551	4.614379	-172.6802	-168.0658
95178	0.709937	0.0919689	0.0260391	0.0521988	0.682551	5.536943	-172.5291	-166.9921
95179	0.709937	0.0919689	0.0118173	0.0765195	0.721716	1.000258	-173.0505	-172.0502
95180	0.709937	0.085435	0.071324	0.0765195	1.17273	6.406265	-173.1478	-166.7416
95181	0.709937	0.0861352	0.071324	0.046425	0.94613	6.417661	-172.5893	-166.1717
95182	0.687779	0.0828857	0.071324	0.0293329	0.227884	5.491194	-172.4095	-166.9183
95183	0.687779	0.0828857	0.0356613	0.0293329	3.12563	7.673458	-172.9029	-165.2294
95184	0.719625	0.0759691	0.0453688	0.00800847	2.42712	8.070569	-175.4079	-167.3373
95185	0.721164	0.0783454	0.0453688	0.0869916	0.257667	6.591183	-173.773	-167.1819
95186	0.675041	0.0783454	0.0416057	0.0635325	0.896475	7.910128	-173.4888	-165.5786
95187	0.675041	0.0884928	0.0416057	0.0635325	1.69796	9.141191	-175.2015	-166.0603
95188	0.675041	0.0897855	0.0416057	0.0393483	1.69796	9.271127	-174.561	-165.2899
95189	0.689039	0.0897855	0.047874	0.0677547	1.69796	9.337089	-174.2822	-164.9451
95190	0.697522	0.0822518	0.047874	0.0366768	1.69796	9.114454	-172.811	-163.6965
95191	0.692662	0.0822518	0.047874	0.0451937	1.69796	9.132812	-172.9854	-163.8526
95192	0.678602	0.0822518	0.047874	0.0451937	1.69796	9.253209	-173.4204	-164.1672
95193	0.680664	0.0822518	0.047874	0.0451937	1.57718	9.193019	-173.2963	-164.1032
95194	0.680664	0.0822518	0.0524576	0.0451937	0.957227	8.731119	-173.1235	-164.3924
95195	0.680664	0.0870268	0.0569329	0.0949437	0.479365	7.775279	-174.7691	-166.9938
95196	0.709712	0.0880503	0.0569329	0.0949437	1.76889	8.653424	-173.8395	-165.1861
95197	0.697703	0.0822273	0.0508299	0.0780414	2.20885	8.91229	-173.7732	-164.8609
95198	0.68468	0.0806173	0.0460652	0.0696512	2.20885	8.889559	-173.843	-164.9534
95199	0.715856	0.0806173	0.0460652	0.0696512	2.20885	8.576964	-174.0921	-165.5152
95200	0.706129	0.0874369	0.0460652	0.0696512	1.91894	9.11078	-173.3662	-164.2554
95201	0.6933	0.0873763	0.0460652	0.0696512	2.92603	8.81165	-174.0981	-165.2865
95202	0.704165	0.0803458	0.0580309	0.0696512	2.92603	8.027732	-173.8981	-165.8703
95203	0.694062	0.0743077	0.0580309	0.0696512	2.92603	7.362645	-174.2926	-166.9299
95204	0.694062	0.0743077	0.0580309	0.0696512	1.81005	7.77337	-173.9746	-166.2012
95205	0.701891	0.0743077	0.0494292	0.144125	1.81005	7.006415	-175.2095	-168.2031
95206	0.701891	0.0743077	0.057107	0.139546	1.81005	6.842676	-175.1294	-168.2867
95207	0.677203	0.0803513	0.0469818	0.0612165	1.09591	8.629638	-173.5648	-164.9351
95208	0.677203	0.0803513	0.0469818	0.0612165	1.09591	8.629638	-173.5648	-164.9351
95209	0.677203	0.0803513	0.0469818	0.00694883	0.255934	7.636852	-172.4031	-164.7662
95210	0.671202	0.0803513	0.0469818	0.00694883	1.97831	9.202029	-172.6739	-163.4718
95211	0.666471	0.0875247	0.0375186	0.00694883	2.16746	8.922289	-173.8456	-164.9233
95212	0.666471	0.079004	0.044252	0.00692937	2.56125	8.818562	-172.816	-163.9974
