iter	Krestbody_plasma(1)	VmaxC(1)	Km(1)	QurineC(1)	Tmc(1)	Kt(1)	LnPrior	LnData	LnPosterior
90106	0.382378	0.725705	7.43537	3.16756	0.973503	0.00180529	-1.665283e+02	-1.097212e+03	-1.263740e+03
90107	0.380298	0.738953	7.56318	3.14222	0.973503	0.00180529	-1.701850e+02	-1.092647e+03	-1.262832e+03
90108	0.367088	0.738953	7.4809	2.9337	0.972043	0.00157572	-1.704954e+02	-1.093188e+03	-1.263683e+03
90109	0.367088	0.738953	7.97178	2.9337	0.971167	0.00143868	-1.706069e+02	-1.094029e+03	-1.264636e+03
90110	0.377033	0.762735	7.97178	3.27654	0.90971	0.00143868	-1.772768e+02	-1.085264e+03	-1.262541e+03
90111	0.377033	0.732407	7.97178	3.27654	0.912643	0.00223395	-1.679464e+02	-1.096387e+03	-1.264333e+03
90112	0.377033	0.732407	8.05236	3.08024	0.879973	0.00223395	-1.680210e+02	-1.097443e+03	-1.265464e+03
90113	0.377033	0.732407	8.05236	2.8409	0.879973	0.00223395	-1.680884e+02	-1.099807e+03	-1.267896e+03
90114	0.368761	0.732407	8.05236	3.13498	0.866529	0.00223395	-1.680296e+02	-1.099628e+03	-1.267657e+03
90115	0.385037	0.732407	7.92842	3.13498	0.866529	0.00223395	-1.680093e+02	-1.098468e+03	-1.266478e+03
90116	0.392999	0.729492	7.92842	3.22555	0.865194	0.00223395	-1.671707e+02	-1.098642e+03	-1.265813e+03
90117	0.392999	0.733778	7.92842	3.22555	0.934376	0.0052541	-1.653914e+02	-1.100768e+03	-1.266160e+03
90118	0.392999	0.733778	7.99608	3.14984	0.934376	0.0052541	-1.654087e+02	-1.101229e+03	-1.266637e+03
90119	0.392999	0.733778	7.93632	3.14984	0.934376	0.0052541	-1.654117e+02	-1.100801e+03	-1.266212e+03
90120	0.392999	0.733778	7.89886	3.14984	0.934376	0.0052541	-1.654135e+02	-1.100633e+03	-1.266046e+03
90121	0.383187	0.739802	7.89886	3.14984	0.9343	0.0052541	-1.671012e+02	-1.098052e+03	-1.265153e+03
