iter	Vehrc(1)	Kehr(1)	kfeces(1)	kbile(1)	kgutabs(1)	Vehrc(1.1)	Kehr(1.1)	kfeces(1.1)	kbile(1.1)	kgutabs(1.1)	Vehrc(1.2)	Kehr(1.2)	kfeces(1.2)	kbile(1.2)	kgutabs(1.2)	LnPrior	LnData	LnPosterior
290093	1.47777	3.74632	0.493456	4.49816	0.917223	0.488511	0.00749932	0.0131541	0.33379	2.16239	0.0573642	4.50172	7.36362	6.4538	0.426401	-2.861594e+01	-3.901735e+03	-3.930351e+03
290094	1.59712	3.74632	0.493456	7.26518	2.05161	0.538001	0.0195102	0.0131541	0.33379	1.9827	0.0573642	3.60616	6.37294	5.59719	0.546296	-3.140524e+01	-3.904422e+03	-3.935827e+03
290095	1.59712	3.74632	1.32974	7.13518	1.20114	0.576579	0.0265562	0.0131541	0.33379	1.9827	0.0573642	3.38946	5.92785	5.59719	0.546296	-2.741286e+01	-3.905177e+03	-3.932590e+03
290096	1.22161	3.45814	2.26188	7.13518	1.20114	0.576579	0.0265562	0.0131541	0.42741	2.25122	0.00403728	4.51303	4.77158	6.54249	0.604315	-2.821916e+01	-3.903961e+03	-3.932181e+03
290097	1.12364	3.45814	2.72031	6.73686	1.3302	0.570161	0.0159934	0.0313129	0.42741	2.25122	0.00403728	3.64441	4.77158	4.16651	0.16844	-2.997136e+01	-3.900805e+03	-3.930777e+03
290098	0.982258	3.12665	3.96068	6.15382	0.953082	0.555116	0.0159934	0.0313129	0.466802	2.25122	0.00403728	3.64441	5.50496	4.16651	0.524242	-2.887446e+01	-3.900799e+03	-3.929673e+03
290099	0.851632	4.29366	5.61796	6.15382	0.953082	0.555116	0.0159934	0.0313129	0.176105	2.25122	0.0253502	2.35564	5.50496	5.23252	0.524242	-3.124784e+01	-3.903385e+03	-3.934633e+03
290100	0.851632	2.22382	6.61771	2.50363	0.953082	0.555116	0.0268926	0.0313129	0.176105	2.26102	0.0302432	1.9384	4.73713	3.14106	0.524242	-2.738281e+01	-3.904407e+03	-3.931790e+03
290101	0.49826	0.327476	7.72647	0.467236	0.953082	0.549831	0.0268926	0.0313129	0.15439	2.24133	0.00791451	3.67528	6.64129	3.14106	0.524242	-2.781913e+01	-3.900737e+03	-3.928556e+03
290102	0.407572	0.327476	6.07956	3.93994	0.997918	0.565812	0.0268926	0.0126215	0.15439	2.19441	0.00791451	3.43437	6.73053	1.47555	0.289366	-2.910495e+01	-3.899952e+03	-3.929057e+03
290103	0.587141	0.0433479	6.40596	3.93994	0.997918	0.575109	0.0268926	0.023402	0.324149	2.12412	0.0084631	4.77013	6.5492	8.23378	0.289366	-3.035867e+01	-3.900919e+03	-3.931277e+03
290104	0.422739	0.83891	7.31328	3.93994	1.04065	0.575109	0.0268926	0.0137608	0.324149	1.99486	0.0084631	3.50472	7.50133	9.42256	0.367365	-2.976830e+01	-3.901008e+03	-3.930776e+03
290105	0.310746	1.28442	5.82623	1.51821	1.07142	0.570603	0.0268926	0.0137608	0.324149	1.99486	0.00868953	4.49688	7.04302	8.6224	0.367365	-3.027021e+01	-3.900847e+03	-3.931117e+03
290106	0.199902	1.28442	5.82623	2.07222	1.07142	0.607858	0.0268926	0.0099766	0.324149	1.99486	0.00868953	4.35026	7.87905	8.6224	0.453139	-3.035491e+01	-3.901705e+03	-3.932060e+03
290107	0.345772	1.07324	5.82433	4.64727	1.07142	0.616894	0.0268926	0.0099766	0.324149	1.99486	0.00150409	3.10926	6.4598	7.16476	0.662434	-2.768151e+01	-3.903278e+03	-3.930960e+03
290108	0.787532	0.800987	4.11067	4.44187	1.07142	0.598035	0.0268926	0.0099766	0.324149	2.13721	0.00150409	3.10926	6.11175	7.16476	0.662434	-2.634901e+01	-3.901709e+03	-3.928058e+03
290109	1.20089	0.800987	2.01087	3.77081	0.828928	0.598035	0.0268926	0.0099766	0.307745	2.13721	0.00150409	3.10926	7.00767	7.16476	0.337358	-2.679738e+01	-3.900137e+03	-3.926934e+03
290110	1.20089	0.800987	2.56275	4.81118	0.481244	0.573425	0.0268926	0.00852209	0.307745	1.9949	0.00150409	1.92255	4.81555	9.72739	0.337358	-2.716537e+01	-3.899505e+03	-3.926670e+03
