"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"LnPrior"	"LnData"	"LnPosterior"
95204	0.259147	3.24377	125.348	28.9909	-46.99537	-4648.68	-4695.675
95205	0.259147	3.24377	125.348	26.1624	-44.44107	-4650.616	-4695.057
95206	0.259147	3.24377	125.348	23.5333	-42.35373	-4652.933	-4695.287
95207	0.259147	3.24377	125.348	23.5333	-42.35373	-4652.933	-4695.287
95208	0.250724	3.24377	125.348	23.906	-42.6326	-4652.116	-4694.749
95209	0.250724	3.24377	125.348	23.906	-42.6326	-4652.116	-4694.749
95210	0.250724	3.38322	125.348	23.906	-42.3995	-4656.759	-4699.158
95211	0.250724	3.3893	126.107	26.0067	-44.56557	-4653.531	-4698.097
95212	0.250724	3.3893	126.107	26.0067	-44.56557	-4653.531	-4698.097
95213	0.250724	3.3893	126.107	26.0067	-44.56557	-4653.531	-4698.097
95214	0.250724	3.3893	133.312	26.0067	-49.58764	-4644.272	-4693.86
95215	0.250724	3.3893	133.312	28.1178	-51.45061	-4642.884	-4694.334
95216	0.250724	3.3893	130.622	28.1178	-49.51527	-4644.614	-4694.129
95217	0.250724	3.3893	130.622	30.2119	-51.53944	-4643.384	-4694.923
95218	0.250724	3.3893	130.622	30.2119	-51.53944	-4643.384	-4694.923
95219	0.250724	3.37525	130.622	30.2062	-51.55698	-4643.333	-4694.89
95220	0.250724	3.37525	132.233	28.6563	-51.19236	-4643.181	-4694.373
95221	0.250724	3.37525	132.233	28.0306	-50.60809	-4643.564	-4694.172
95222	0.250724	3.38118	132.233	32.8337	-55.48446	-4640.95	-4696.435
95223	0.250724	3.38118	132.233	32.8337	-55.48446	-4640.95	-4696.435
95224	0.250724	3.42707	132.233	26.7436	-49.37012	-4644.233	-4693.603
95225	0.24967	3.42707	132.233	26.7436	-49.3701	-4644.32	-4693.69
95226	0.24967	3.42707	132.233	29.8877	-52.3024	-4642.376	-4694.678
95227	0.24967	3.42707	132.233	29.0767	-51.50817	-4642.84	-4694.348
95228	0.24967	3.42707	132.233	29.0767	-51.50817	-4642.84	-4694.348
95229	0.24967	3.42707	133.454	29.0767	-52.39774	-4641.909	-4694.307
95230	0.24967	3.42707	133.454	22.8205	-47.15544	-4646.613	-4693.768
95231	0.24967	3.42707	133.454	18.6878	-44.55111	-4651.635	-4696.186
95232	0.24967	3.42707	133.454	20.7993	-45.7964	-4648.774	-4694.571
95233	0.24967	3.42707	133.454	27.1049	-50.57651	-4643.155	-4693.731
95234	0.259573	3.42707	133.454	27.1049	-50.57673	-4643.382	-4693.958
95235	0.259573	3.43257	133.454	27.1049	-50.5677	-4643.407	-4693.974
95236	0.259573	3.43257	133.454	27.3315	-50.76917	-4643.233	-4694.003
95237	0.259573	3.43257	133.454	27.3315	-50.76917	-4643.233	-4694.003
95238	0.252655	3.55661	133.454	29.1497	-52.2575	-4644.479	-4696.736
95239	0.252655	3.55661	133.454	24.8006	-48.43455	-4647.591	-4696.026
95240	0.238945	3.55661	137.825	24.8006	-51.74069	-4644.195	-4695.935
95241	0.238945	3.55661	137.825	26.336	-53.00392	-4643.132	-4696.136
95242	0.238945	3.55661	137.825	26.336	-53.00392	-4643.132	-4696.136
95243	0.238945	3.55661	137.825	22.3296	-49.90576	-4646.287	-4696.192
95244	0.238945	3.55661	137.825	22.5018	-50.02571	-4646.131	-4696.156
95245	0.238945	3.55661	137.825	22.5018	-50.02571	-4646.131	-4696.156
95246	0.238945	3.55661	138.912	30.1861	-57.43769	-4640.608	-4698.046
95247	0.238945	3.66685	138.912	30.1861	-57.26164	-4640.202	-4697.463
95248	0.238945	3.66685	138.912	30.1861	-57.26164	-4640.202	-4697.463
95249	0.252388	3.66685	138.912	30.1861	-57.26194	-4638.622	-4695.884
95250	0.252388	3.66685	138.912	23.1669	-51.17586	-4643.8	-4694.975
95251	0.241572	3.55867	138.751	23.1669	-51.22189	-4644.142	-4695.364
95252	0.241572	3.55867	134.9	29.6983	-53.86286	-4642.621	-4696.484
95253	0.241572	3.55867	134.9	29.6983	-53.86286	-4642.621	-4696.484
95254	0.241572	3.55867	134.9	29.6983	-53.86286	-4642.621	-4696.484
95255	0.241572	3.55867	134.9	29.6983	-53.86286	-4642.621	-4696.484
95256	0.241572	3.48129	134.9	29.6983	-53.98821	-4642.33	-4696.318
95257	0.256199	3.48129	134.9	26.3807	-50.93115	-4642.493	-4693.424
95258	0.256199	3.48129	137.723	26.3807	-53.08515	-4640.717	-4693.802
95259	0.256199	3.48129	137.723	26.3807	-53.08515	-4640.717	-4693.802
95260	0.256199	3.48129	137.723	24.8934	-51.85737	-4641.917	-4693.774
95261	0.256199	3.47622	136.075	25.0395	-50.71529	-4642.577	-4693.292
95262	0.256199	3.47622	136.075	25.0395	-50.71529	-4642.577	-4693.292
95263	0.256199	3.47622	136.075	20.9702	-47.78464	-4646.713	-4694.497
95264	0.256199	3.47622	136.075	26.5565	-51.97733	-4641.403	-4693.38
95265	0.256199	3.47622	136.075	26.5565	-51.97733	-4641.403	-4693.38
95266	0.256199	3.47622	136.075	23.723	-49.69465	-4643.746	-4693.44
95267	0.256199	3.47622	136.075	28.0578	-53.3169	-4640.354	-4693.671
95268	0.261717	3.47622	136.075	28.0578	-53.31703	-4641.084	-4694.401
95269	0.261717	3.47622	136.075	28.0578	-53.31703	-4641.084	-4694.401
95270	0.261717	3.47622	136.075	28.0578	-53.31703	-4641.084	-4694.401
95271	0.258521	3.47622	136.075	28.0578	-53.31695	-4640.556	-4693.873
95272	0.258521	3.46251	136.075	28.0578	-53.33934	-4640.589	-4693.928
95273	0.258521	3.46251	136.075	28.0578	-53.33934	-4640.589	-4693.928
95274	0.258521	3.46251	136.075	23.8744	-49.83095	-4643.871	-4693.702
95275	0.258521	3.46251	136.075	23.8744	-49.83095	-4643.871	-4693.702
95276	0.258521	3.46251	136.075	23.8744	-49.83095	-4643.871	-4693.702
95277	0.258521	3.46251	136.075	23.8744	-49.83095	-4643.871	-4693.702
95278	0.258521	3.46251	136.075	24.1752	-50.05988	-4643.611	-4693.671
95279	0.258521	3.46251	136.075	23.5416	-49.58194	-4644.2	-4693.782
95280	0.258521	3.46251	140.108	20.1205	-50.42787	-4647.585	-4698.013
95281	0.258521	3.46251	140.108	23.0829	-52.39512	-4644.212	-4696.607
95282	0.258521	3.50578	140.108	23.9087	-52.93561	-4641.919	-4694.854
95283	0.258521	3.6049	139.803	23.9087	-52.53193	-4641.434	-4693.966
95284	0.258521	3.6049	139.803	23.9087	-52.53193	-4641.434	-4693.966
95285	0.258521	3.6049	139.803	23.9087	-52.53193	-4641.434	-4693.966
95286	0.257287	3.55461	139.803	24.5882	-53.13578	-4640.492	-4693.628
95287	0.257287	3.55461	139.803	24.5882	-53.13578	-4640.492	-4693.628
95288	0.250727	3.55461	139.803	24.5882	-53.13563	-4640.557	-4693.693
95289	0.250727	3.55461	139.803	22.189	-51.37089	-4642.787	-4694.158
95290	0.250727	3.55461	139.803	23.22	-52.10101	-4641.764	-4693.865
95291	0.250727	3.58036	139.425	26.688	-54.52701	-4638.882	-4693.409
95292	0.250727	3.58036	139.425	22.7758	-51.43919	-4642.162	-4693.601
95293	0.250727	3.58036	139.425	25.5848	-53.5943	-4639.709	-4693.303
95294	0.250727	3.58036	142.852	30.9043	-61.32088	-4635.624	-4696.945
95295	0.250727	3.58036	138.069	27.4912	-54.16872	-4639.411	-4693.58
95296	0.260457	3.58036	138.069	27.4912	-54.16895	-4640.466	-4694.635
95297	0.25455	3.58036	138.069	27.4912	-54.16881	-4639.482	-4693.651
95298	0.245291	3.60147	138.069	25.6176	-52.51946	-4641.48	-4693.999
95299	0.245291	3.60147	138.069	25.6176	-52.51946	-4641.48	-4693.999
95300	0.245291	3.60147	138.069	25.6176	-52.51946	-4641.48	-4693.999
95301	0.25063	3.60147	138.069	26.81	-53.53139	-4640.123	-4693.654
95302	0.25063	3.60147	137.528	26.81	-53.11061	-4640.783	-4693.894
95303	0.25063	3.60147	137.528	25.5565	-52.04849	-4641.728	-4693.777
95304	0.25063	3.59467	137.528	27.9938	-54.18223	-4639.87	-4694.052
95305	0.25063	3.64893	137.528	27.9938	-54.09571	-4641.44	-4695.536
