"iter"	"Krestbody_plasma.1."	"VmaxC.1."	"Km.1."	"QurineC.1."	"Tmc.1."	"Kt.1."	"LnPrior"	"LnData"	"LnPosterior"
95078	0.372976	0.807309	8.54133	3.27446	0.930529	0.00304284	-188.9017	-1074.568	-1263.47
95079	0.372976	0.799381	8.54133	3.16322	0.923165	0.00304284	-186.5263	-1076.449	-1262.976
95080	0.371599	0.787608	8.54133	3.16322	0.923165	0.000875212	-185.1193	-1075.868	-1260.987
95081	0.371599	0.785901	8.54133	3.16322	0.928225	0.00143789	-184.0515	-1077.595	-1261.646
95082	0.383319	0.808355	8.54133	3.55042	0.928225	0.00143789	-190.703	-1072.565	-1263.268
95083	0.383319	0.804659	8.80155	3.57684	0.928225	0.00143789	-189.5545	-1075.91	-1265.465
95084	0.389999	0.804659	8.80155	3.37958	0.939695	0.00776681	-183.5488	-1084.221	-1267.77
95085	0.37044	0.804659	8.80155	3.37958	0.918288	0.00522861	-185.9701	-1079.907	-1265.877
95086	0.37044	0.804659	8.78429	3.37958	0.918288	0.00377507	-187.359	-1077.551	-1264.91
95087	0.379978	0.79768	8.78429	3.54022	0.918288	0.00377507	-185.1852	-1080.814	-1265.999
95088	0.379978	0.79768	8.67249	3.54022	0.910431	0.00146183	-187.4493	-1076.053	-1263.502
95089	0.379978	0.79768	8.53781	3.68562	0.910431	0.00291343	-185.999	-1079.213	-1265.212
95090	0.381029	0.79768	8.53781	3.53732	0.910431	0.00291343	-186.0352	-1078.063	-1264.098
95091	0.381029	0.79768	8.53781	3.34966	0.910431	0.00291343	-186.0844	-1077.258	-1263.342
95092	0.376754	0.79768	8.53781	3.34966	0.914665	0.00193349	-187.0443	-1075.34	-1262.385
95093	0.365751	0.79768	8.53781	3.34966	0.914665	0.00240832	-186.5977	-1077.394	-1263.992
95094	0.365751	0.79768	8.53781	3.1142	0.942271	0.00240832	-186.6404	-1075.55	-1262.19
95095	0.365751	0.79768	8.63715	3.24381	0.942271	0.00240832	-186.6001	-1076.942	-1263.542
95096	0.36977	0.79768	8.63715	3.07005	0.942271	0.00240832	-186.6411	-1075.497	-1262.138
95097	0.365704	0.810845	8.63715	3.07005	0.942271	0.00240832	-190.6566	-1071.705	-1262.361
95098	0.374993	0.810845	8.63715	3.07005	0.94498	0.000854715	-192.1676	-1068.379	-1260.547
95099	0.377839	0.808283	8.63715	3.01407	0.94498	0.000854715	-191.3928	-1069.219	-1260.612
95100	0.367471	0.795957	8.63715	2.94748	0.930098	0.000854715	-187.697	-1073.181	-1260.878
95101	0.367471	0.795957	8.63715	2.94748	0.930098	0.000854715	-187.697	-1073.181	-1260.878
95102	0.367471	0.801286	8.4462	2.94748	0.930098	0.000854715	-189.3172	-1072.116	-1261.433
95103	0.370498	0.789897	8.55252	2.94748	0.930098	0.000854715	-185.8786	-1074.76	-1260.639
95104	0.370498	0.779567	8.41414	2.98534	0.955475	0.000854715	-182.7903	-1078.158	-1260.948
95105	0.370498	0.780162	8.41414	2.98534	0.955475	0.000854715	-182.9657	-1077.902	-1260.868
95106	0.360823	0.780162	8.41414	2.66694	0.955475	0.000854715	-183.0729	-1079.045	-1262.118
95107	0.360823	0.805145	8.41414	2.66694	0.955475	0.000854715	-190.5643	-1072.771	-1263.335
95108	0.351069	0.80976	8.53051	2.66694	0.971766	0.000854715	-191.9736	-1070.361	-1262.335
95109	0.363077	0.800691	8.53051	2.69989	0.971766	0.000854715	-189.179	-1072.011	-1261.19
95110	0.363077	0.800691	8.53051	2.62182	0.971766	0.000854715	-189.2019	-1072.907	-1262.109
95111	0.355879	0.800691	8.53051	2.62182	0.991076	0.000854715	-189.1991	-1072.795	-1261.994
95112	0.345309	0.800691	8.53051	2.52102	0.991076	0.000854715	-189.2464	-1074.598	-1263.845
95113	0.345309	0.800691	8.42201	2.52102	0.991076	0.00173754	-188.3804	-1076.714	-1265.095
95114	0.345309	0.788111	8.54744	2.52102	0.990497	0.00173754	-184.5936	-1081.305	-1265.899
95115	0.345309	0.794431	8.54744	2.52102	0.990497	0.00173754	-186.4853	-1078.752	-1265.238
95116	0.345309	0.792622	8.54744	2.54292	0.986399	0.00173754	-185.9389	-1079.209	-1265.148
95117	0.365201	0.786983	8.54744	3.05807	0.986399	0.00438257	-181.5091	-1085.079	-1266.588
95118	0.365201	0.797856	8.31959	3.05807	0.986399	0.00256676	-186.5325	-1076.01	-1262.542
95119	0.365201	0.799453	8.28721	3.15409	0.980491	0.00256676	-186.9947	-1076.024	-1263.019
95120	0.383502	0.787951	8.04847	3.03747	0.980491	0.00256676	-183.5552	-1079.942	-1263.497
95121	0.363031	0.787951	8.04847	3.03747	0.980491	0.00108076	-185.0474	-1076.371	-1261.418
95122	0.363031	0.787951	8.04847	2.96322	0.980491	0.00108076	-185.0682	-1076.206	-1261.274
95123	0.375474	0.787951	7.9851	2.9629	0.980491	0.00108076	-185.0511	-1076.721	-1261.773
95124	0.370813	0.787951	8.11598	2.9629	0.94661	0.00108076	-185.0781	-1076.751	-1261.829
95125	0.370813	0.785628	8.36443	2.83757	0.965864	0.00108076	-184.3956	-1076.207	-1260.602
95126	0.370813	0.794563	8.41195	2.83757	0.965864	0.00108076	-187.0634	-1073.493	-1260.556
95127	0.370813	0.793983	8.39585	2.87918	0.975654	0.00108076	-186.8705	-1073.655	-1260.525
95128	0.370813	0.797851	8.39585	2.87918	0.949597	0.00090598	-188.2284	-1072.41	-1260.638
95129	0.382737	0.770573	8.44771	3.03726	0.949597	0.00090598	-180.0745	-1082.949	-1263.023
95130	0.382737	0.770573	8.44771	3.03726	0.949597	0.00090598	-180.0745	-1082.949	-1263.023
95131	0.382737	0.801575	8.53956	3.03726	0.947668	0.00090598	-189.2861	-1071.456	-1260.742
95132	0.36032	0.796272	8.53956	3.03726	0.947668	0.00228089	-186.3662	-1076.036	-1262.403
