iter	Krestbody_plasma(1)	Tmc(1)	Kt(1)	Trc(1)	VmaxC(1)	Km(1)	QurineC(1)	LnPrior	LnData	LnPosterior
90162	0.430731	7.79821	0.0641931	1.21524	0.478117	5.56345	8.64256	-7.939629e+01	-3.729893e+02	-4.523856e+02
90163	0.438568	7.79821	0.0641931	1.23743	0.478117	5.56345	8.64256	-7.939462e+01	-3.737505e+02	-4.531452e+02
90164	0.400382	8.02811	0.0641931	1.26772	0.478117	5.6732	8.64256	-8.069096e+01	-3.693137e+02	-4.500047e+02
90165	0.400382	7.94099	0.0641931	1.32262	0.473508	5.86025	8.64256	-7.926544e+01	-3.711629e+02	-4.504284e+02
90166	0.400382	8.19486	0.0641931	1.32262	0.46752	5.86025	8.64256	-7.978199e+01	-3.701845e+02	-4.499665e+02
90167	0.400382	8.19486	0.0641931	1.32262	0.474876	5.87081	10.6365	-8.140618e+01	-3.675793e+02	-4.489855e+02
90168	0.400382	8.29197	0.0641931	1.32262	0.474876	5.87081	11.019	-8.210165e+01	-3.675481e+02	-4.496498e+02
90169	0.400382	8.29197	0.0648189	1.32262	0.473723	5.87081	11.019	-8.184958e+01	-3.679104e+02	-4.497600e+02
90170	0.390489	8.29197	0.0648189	1.32262	0.46959	5.87081	11.019	-8.114090e+01	-3.702320e+02	-4.513729e+02
90171	0.390489	8.29197	0.0648189	1.32262	0.464462	5.46477	7.29089	-7.987228e+01	-3.728950e+02	-4.527673e+02
90172	0.390489	8.52645	0.0648189	1.31697	0.454712	5.46477	7.29089	-7.975082e+01	-3.733182e+02	-4.530690e+02
90173	0.390489	8.52645	0.0616175	1.31697	0.454712	5.46477	5.03059	-7.995446e+01	-3.756067e+02	-4.555611e+02
90174	0.390489	8.52645	0.0682369	1.31697	0.454712	5.46477	5.6444	-7.941997e+01	-3.755306e+02	-4.549506e+02
90175	0.390489	8.52645	0.0682369	1.32435	0.454712	5.46477	5.6444	-7.941932e+01	-3.755149e+02	-4.549342e+02
